date,open_sandp_500,high_sandp_500,low_sandp_500,close_sandp_500,volume_sandp_500,value_fed_rate,open_gold_price,high_gold_price,low_gold_price,close_gold_price,volume_gold_price,value_oil_price,open_dow_jone,high_dow_jone,low_dow_jone,close_dow_jone,volume_dow_jone
2010-02-19,1105.49,1112.42,1100.8,1109.17,3.94428E9,0.13,1112.6,1127.4,1110.0,1112.6,124.0,0.13,10387.77,10438.55,10339.17,10402.35,2.4175E8
2010-02-22,1110.0,1112.29,1105.38,1108.01,3.81444E9,0.12,1116.4,1118.3,1102.6,1102.7,152.0,0.12,10402.43,10433.64,10368.95,10383.38,1.5844E8
2010-02-23,1107.49,1108.58,1092.18,1094.6,4.52105E9,0.12,1096.5,1096.5,1096.5,1096.5,751.0,0.12,10383.16,10411.12,10267.83,10282.41,1.9074E8
2010-02-24,1095.89,1106.42,1095.5,1105.24,4.16836E9,0.11,1107.8,1108.2,1088.7,1107.8,386.0,0.11,10284.0,10393.51,10283.93,10374.16,1.8145E8
2010-02-25,1101.24,1103.5,1086.02,1102.94,4.52113E9,0.12,1106.8,1118.3,1106.8,1118.3,382.0,0.12,10366.6,10366.68,10185.83,10321.03,2.4255E8
2010-02-26,1103.1,1107.24,1097.56,1104.49,3.94519E9,0.13,1119.3,1121.9,1113.6,1117.8,184.0,0.13,10321.41,10353.45,10272.29,10325.26,2.8212E8
2010-03-01,1105.36,1116.11,1105.36,1115.71,3.84764E9,0.14,1136.9,1137.4,1115.7,1136.9,155.0,0.14,10326.1,10413.99,10326.1,10403.79,1.7375E8
2010-03-02,1117.01,1123.46,1116.51,1118.31,4.13468E9,0.14,1142.7,1145.0,1133.7,1142.7,170.0,0.14,10404.16,10456.92,10389.43,10405.98,2.1718E8
2010-03-03,1119.36,1125.64,1116.58,1118.79,3.95132E9,0.15,1132.6,1139.0,1128.6,1132.6,118.0,0.15,10406.28,10469.54,10376.58,10396.76,1.8329E8
2010-03-04,1119.12,1123.73,1116.66,1122.97,3.94501E9,0.16,1134.8,1134.8,1134.8,1134.8,129.0,0.16,10396.53,10452.38,10390.86,10444.14,1.6574E8
2010-03-05,1125.12,1139.38,1125.12,1138.7,4.133E9,0.17,1123.6,1123.6,1123.6,1123.6,17.0,0.17,10445.13,10571.94,10445.05,10566.2,1.8427E8
